ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries
21389154,16SpathDB,0.996311396,16SpathDB,0.996311396,,0.0,1,http://147.8.74.24/16SpathDB,"HTTPConnectionPool(host='147.8.74.24', port=80): Max retries exceeded with url: /16SpathDB (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6f246776d0>, 'Connection to 147.8.74.24 timed out. (connect timeout=5)'))",,,http://web.archive.org/web/20140722082245/http://147.8.74.24/16SpathDB/,2011-03-09,"State Key Laboratory of Emerging Infectious Diseases, Research Centre of Infection and Immunology, Department ofMicrobiology, and Carol Yu Centre for Infection, The University of Hong Kong, Hong Kong. pcywoo@hkucc.hku.hk","Woo PC, Teng JL, Yeung JM, Tse H, Lau SK, Yuen KY",,,24.0,"Hong Kong, Hong Kong"
23293959,3DMET,0.974991322,3DMET,0.974991322,Three-dimensional structure database of natural metabolites,0.861961424,1,"http://www.genome.jp/kegg/compound/, http://www.3dmet.dna.affrc.go.jp","301, HTTPConnectionPool(host='www.3dmet.dna.affrc.go.jp', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6f24610790>, 'Connection to www.3dmet.dna.affrc.go.jp timed out. (connect timeout=5)'))",,"(35.0211,135.7538), ","http://web.archive.org/web/20220615140437/https://www.genome.jp/kegg/compound//, http://web.archive.org/web/20201127014135/http://www.3dmet.dna.affrc.go.jp/",2013-03-07,"Biomolecular Research Unit, National Institute of Agrobiological Sciences , 2-1-2 Kannondai, Tsukuba, Ibaraki 305-8602, Japan.","Maeda MH, Kondo K",,,9.0,Japan
24081580,3did,0.997478525,3did,0.997478525,interacting domains,0.710986495,1,http://3did.irbbarcelona.org,302,,"(41.4301,2.1925)",http://web.archive.org/web/20221019195830/https://3did.irbbarcelona.org/,2013-09-29,"Joint IRB-BSC Program in Computational Biology, Institute for Research in Biomedicine (IRB Barcelona), c/ Baldiri Reixac 10-12, 08028 Barcelona, Spain, Center for Genomic Science of IIT@SEMM, Istituto Italiano di Tecnologia (IIT), Via Adamello 16, 20139 Milan, Italy, California Institute for Quantitative Biomedical Research (qb3) and Department of Bioengineering and Therapeutic Sciences, MC 2530, University of California San Francisco (UCSF) CA 94158-2330, USA and InstituciÃ³ Catalana de Recerca i Estudis AvanÃ§ats (ICREA), Passeig LluÃ­s Companys 23, 08010 Barcelona, Spain.","Mosca R, CÃ©ol A, Stein A, Olivella R, Aloy P",,,89.0,"Spain, Spain, Italy, United States"
24275494,1000 Genomes Selection Browser,0.770321417,,0.0,1000 Genomes Selection Browser,0.770321417,1,http://hsb.upf.edu,"HTTPConnectionPool(host='hsb.upf.edu', port=80): Pool is closed.",,,no_wayback,2013-11-25,"Program for Population Genetics, Institute of Evolutionary Biology (CSIC-Universitat Pompeu Fabra), 08003 Barcelona, Spain, Population Genomics Node, National Institute for Bioinformatics (INB), Universitat Pompeu Fabra, 08003 Barcelona, Spain, Institute of Molecular Biology and Biotechnology-FORTH, Heraklion, Crete GR 700 13, Greece and Department of Evolutionary Genetics, Max Planck Institute for Evolutionary Anthropology, 04103 Leipzig, Germany.","Pybus M, Dall'Olio GM, Luisi P, Uzkudun M, CarreÃ±o-Torres A, Pavlidis P, Laayouni H, Bertranpetit J, Engelken J",,,86.0,"Germany, Spain, Spain, Greece"
24526713,3DGD,0.996886671,3DGD,0.996886671,Genome Database,0.968708754,1,http://3dgd.biosino.org,"HTTPConnectionPool(host='3dgd.biosino.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6f24677f70>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,http://web.archive.org/web/20170326060852/http://3dgd.biosino.org:80/,2014-02-12,"Key Laboratory of Systems Biology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, 320 Yue Yang Road, Shanghai 200031, P. R. China, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, National Center for Protein Science, Shanghai 333 Haike Road, Pudong District, Shanghai 201210 and Shanghai Center for Bioinformation Technology, 1278 Keyuan Road, Shanghai 201203, P. R. ChinaKey Laboratory of Systems Biology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, 320 Yue Yang Road, Shanghai 200031, P. R. China, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, National Center for Protein Science, Shanghai 333 Haike Road, Pudong District, Shanghai 201210 and Shanghai Center for Bioinformation Technology, 1278 Keyuan Road, Shanghai 201203, P. R. China.","Li C, Dong X, Fan H, Wang C, Ding G, Li Y",,,9.0,"China, China, China"
27081154,3CDB,0.995992641,3CDB,0.995992641,,0.0,1,http://3cdb.big.ac.cn,301,,"(39.9075,116.3972)",http://web.archive.org/web/20211129151313/http://3cdb.big.ac.cn/,2016-04-14,"CAS Key Laboratory of Genome Sciences and Information, Beijing Institute of Genomics, Chinese Academy of Sciences, Beijing, 100101, China University of Chinese Academy of Sciences, Beijing, 100049, China.","Yun X, Xia L, Tang B, Zhang H, Li F, Zhang Z",,,4.0,"China, China"
27694207,3DFlu,0.99639225,3DFlu,0.99639225,,0.0,1,http://nucleus3d.cent.uw.edu.pl/influenza,301,,"(52.2298,21.0118)",http://web.archive.org/web/20190305071202/http://nucleus3d.cent.uw.edu.pl:80/influenza/,2016-10-02,"Centre of New Technologies, University of Warsaw, Warsaw, Poland Institute of Computer Science, Polish Academy of Sciences, Warsaw, Poland.","Mazzocco G, Lazniewski M, MigdaÅ P, SzczepiÅska T, Radomski JP, Plewczynski D",,,3.0,"Poland, Poland"
28511181,1-CMDb,0.992982775,1-CMDb,0.992982775,one-carbon metabolism database,0.925644517,1,http://slsdb.manipal.edu/ocm,"HTTPConnectionPool(host='slsdb.manipal.edu', port=80): Max retries exceeded with url: /ocm (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6f24677dc0>, 'Connection to slsdb.manipal.edu timed out. (connect timeout=5)'))",,,http://web.archive.org/web/20220615195722/http://slsdb.manipal.edu/ocm/,2017-05-17,"Department of Bioinformatics, School of Life Sciences, Manipal University, Manipal, India.","Bhat MK, Gadekar VP, Jain A, Paul B, Rai PS, Satyamoorthy K",,,2.0,India
30304689,10KIP,0.928437392,10KIP,0.928437392,"10,000 Immunomes Project",0.844234129,1,http://10kimmunomes.org,302,,"(34.0522,-118.2437)",http://web.archive.org/web/20190915234016/http://10kimmunomes.org:80/,2018-10-01,"Bakar Computational Health Sciences Institute, University of California, San Francisco, San Francisco, CA 94158, USA; Department of Pediatrics, University of California, San Francisco, San Francisco, CA 94158, USA.","Zalocusky KA, Kan MJ, Hu Z, Dunn P, Thomson E, Wiser J, Bhattacharya S, Butte AJ",,"NIAID NIH HHS, National Institute of Allergy and Infectious Diseases",13.0,"United States, United States"
34244700,2DProts,0.990597233,2DProts,0.990597233,,0.0,1,http://2dprots.ncbr.muni.cz,301,,"(49.1952,16.6080)",http://web.archive.org/web/20220712050142/https://2dprots.ncbr.muni.cz/,2021-07-09,"National Centre for Biomolecular Research, Faculty of Science, Masaryk University, Brno, 625 00, Czech Republic.","HutaÅovÃ¡ VaÅekovÃ¡ I, HutaÅ J, Midlik A, HorskÃ½ V, HladkÃ¡ E, SvobodovÃ¡ R, Berka K",,"Ministry of Education, Youth and Sports, European Regional Development Fund",0.0,
