id,title,abstract,kes_check,hji_check,curation_sum,number_of_checks,curation_score,checked_by,hji_notes,kes_notes
26483767,Clinical utilization of genomics data produced by the international Pseudomonas aeruginosa consortium.,"The International Pseudomonas aeruginosa Consortium is sequencing over 1000 genomes and building an analysis pipeline for the study of Pseudomonas genome evolution, antibiotic resistance and virulence genes. Metadata, including genomic and phenotypic data for each isolate of the collection, are available through the International Pseudomonas Consortium Database (http://ipcd.ibis.ulaval.ca/). Here, we present our strategy and the results that emerged from the analysis of the first 389 genomes. With as yet unmatched resolution, our results confirm that P. aeruginosa strains can be divided into three major groups that are further divided into subgroups, some not previously reported in the literature. We also provide the first snapshot of P. aeruginosa strain diversity with respect to antibiotic resistance. Our approach will allow us to draw potential links between environmental strains and those implicated in human and animal infections, understand how patients become infected and how the infection evolves over time as well as identify prognostic markers for better evidence-based decisions on patient care.",1,1,2,2,1,"kes, hji",,
26995712,Rare disease relations through common genes and protein interactions.,"ODCs (Orphan Disease Connections), available at http://csbg.cnb.csic.es/odcs, is a novel resource to explore potential molecular relations between rare diseases. These molecular relations have been established through the integration of disease susceptibility genes and human protein-protein interactions. The database currently contains 54,941 relations between 3032 diseases.",1,1,2,2,1,"kes, hji",,
21255607,"Aromatic-Aromatic Interactions Database, A(2)ID: an analysis of aromatic Ï€-networks in proteins.","The geometrical arrangement of the aromatic rings of phenylalanine, tyrosine, tryptophan and histidine has been analyzed at a database level using the X-ray crystal structure of proteins from PDB in order to find out the aromatic-aromatic (p-p) networks in proteins and to understand how these aromatic rings are connected with each-other in a specific p-p network. A stringent examination of the 7848 proteins indicates that close to 89% of the proteins have occurrence of at least a network of 2p or a higher p-p network. The occurrence of p-p networks in various protein superfamilies based on SCOP, CATH and EC classifiers has also been probed in the present work. In general, we find that multidomain and membrane proteins as well as lyases show a more number of these networks. Analysis of the distribution of angle between planes of two proximal aromatic rings (<U+03D5>) distribution indicates that at a larger cutoff distance (between centroid of two aromatic rings), above 5Å, C-H<U+22EF>p interactions (T-shaped orientation) are more prevalent, while p-p interactions (stacked orientation) are more prevalent at a smaller cutoff distance. The connectivity patterns of p-p networks propose strong propensity of finding arrangement of aromatic residues as clusters rather than linear arrangement. We have also made a public domain database """"Aromatic-Aromatic Interactions Database"""" (A(2)ID) comprising of all types of p-p networks and their connectivity pattern present in proteins. It can be accessed by url http://203.199.182.73/gnsmmg/databases/aidb/aidb.html.",1,1,2,2,1,"kes, hji",,
21398668,sc-PDB: a database for identifying variations and multiplicity of 'druggable' binding sites in proteins.,"<h4>Background</h4>The sc-PDB database is an annotated archive of druggable binding sites extracted from the Protein Data Bank. It contains all-atoms coordinates for 8166 protein-ligand complexes, chosen for their geometrical and physico-chemical properties. The sc-PDB provides a functional annotation for proteins, a chemical description for ligands and the detailed intermolecular interactions for complexes. The sc-PDB now includes a hierarchical classification of all the binding sites within a functional class.<h4>Method</h4>The sc-PDB entries were first clustered according to the protein name indifferent of the species. For each cluster, we identified dissimilar sites (e.g. catalytic and allosteric sites of an enzyme). SCOPE AND APPLICATIONS: The classification of sc-PDB targets by binding site diversity was intended to facilitate chemogenomics approaches to drug design. In ligand-based approaches, it avoids comparing ligands that do not share the same binding site. In structure-based approaches, it permits to quantitatively evaluate the diversity of the binding site definition (variations in size, sequence and/or structure).<h4>Availability</h4>The sc-PDB database is freely available at: http://bioinfo-pharma.u-strasbg.fr/scPDB.",1,1,2,2,1,"kes, hji",,
21624162,Developing a kidney and urinary pathway knowledge base.,"<h4>Background</h4>Chronic renal disease is a global health problem. The identification of suitable biomarkers could facilitate early detection and diagnosis and allow better understanding of the underlying pathology. One of the challenges in meeting this goal is the necessary integration of experimental results from multiple biological levels for further analysis by data mining. Data integration in the life science is still a struggle, and many groups are looking to the benefits promised by the Semantic Web for data integration.<h4>Results</h4>We present a Semantic Web approach to developing a knowledge base that integrates data from high-throughput experiments on kidney and urine. A specialised KUP ontology is used to tie the various layers together, whilst background knowledge from external databases is incorporated by conversion into RDF. Using SPARQL as a query mechanism, we are able to query for proteins expressed in urine and place these back into the context of genes expressed in regions of the kidney.<h4>Conclusions</h4>The KUPKB gives KUP biologists the means to ask queries across many resources in order to aggregate knowledge that is necessary for answering biological questions. The Semantic Web technologies we use, together with the background knowledge from the domain's ontologies, allows both rapid conversion and integration of this knowledge base. The KUPKB is still relatively small, but questions remain about scalability, maintenance and availability of the knowledge itself.<h4>Availability</h4>The KUPKB may be accessed via http://www.e-lico.eu/kupkb.",1,1,2,2,1,"kes, hji",read this,
21656910,A database of reaction monitoring mass spectrometry assays for elucidating therapeutic response in cancer.,"<h4>Purpose</h4>The Quantitative Assay Database (QuAD), http://proteome.moffitt.org/QUAD/, facilitates widespread implementation of quantitative mass spectrometry in cancer biology and clinical research through sharing of methods and reagents for monitoring protein expression and modification.<h4>Experimental design</h4>Liquid chromatography coupled to multiple reaction monitoring (LC-MRM) mass spectrometry assays are developed using SDS-PAGE fractionated lysates from cancer cell lines. Pathway maps created using GeneGO Metacore provide the biological relationships between proteins and illustrate concepts for multiplexed analysis; each protein can be selected to examine assay development at the protein and peptide levels.<h4>Results</h4>The coupling of SDS-PAGE and multiple reaction monitoring mass spectrometry screening has been used to detect 876 peptides from 218 cancer-related proteins in model systems including colon, lung, melanoma, leukemias, and myeloma, which has led to the development of 95 quantitative assays including stable-isotope-labeled peptide standards. Methods are published online and peptide standards are made available to the research community. Protein expression measurements for heat shock proteins, including a comparison with ELISA and monitoring response to the HSP90 inhibitor, 17-(dimethylaminoethylamino)-17-demethoxygeldanamycin (17-DMAG), are used to illustrate the components of the QuAD and its potential utility.<h4>Conclusions and clinical relevance</h4>This resource enables quantitative assessment of protein components of signaling pathways and biological processes and holds promise for systematic investigation of treatment responses in cancer.",1,1,2,2,1,"kes, hji",,tentative 1; Does this fit our description of biodata?
21769196,VPDB: Viral Protein Structural Database.,"<h4>Unlabelled</h4>Viral Protein Database is an interactive database for three dimensional viral proteins. Our aim is to provide a comprehensive resource to the community of structural virology, with an emphasis on the description of derived data from structural biology. Currently, VPDB includes ˜1,670 viral protein structures from >277 viruses with more than 465 virus strains. The whole database can be easily accessed through the user convenience text search. Interactivity has been enhanced by using Jmol, WebMol and Strap to visualize the viral protein molecular structure.<h4>Availability</h4>The database is available for free at http://www.vpdb.bicpu.edu.in.",1,1,2,2,1,"kes, hji",,
21821666,NeuroPedia: neuropeptide database and spectral library.,"<h4>Summary</h4>Neuropeptides are essential for cell-cell communication in neurological and endocrine physiological processes in health and disease. While many neuropeptides have been identified in previous studies, the resulting data has not been structured to facilitate further analysis by tandem mass spectrometry (MS/MS), the main technology for high-throughput neuropeptide identification. Many neuropeptides are difficult to identify when searching MS/MS spectra against large protein databases because of their atypical lengths (e.g. shorter/longer than common tryptic peptides) and lack of tryptic residues to facilitate peptide ionization/fragmentation. NeuroPedia is a neuropeptide encyclopedia of peptide sequences (including genomic and taxonomic information) and spectral libraries of identified MS/MS spectra of homolog neuropeptides from multiple species. Searching neuropeptide MS/MS data against known NeuroPedia sequences will improve the sensitivity of database search tools. Moreover, the availability of neuropeptide spectral libraries will also enable the utilization of spectral library search tools, which are known to further improve the sensitivity of peptide identification. These will also reinforce the confidence in peptide identifications by enabling visual comparisons between new and previously identified neuropeptide MS/MS spectra.<h4>Availability</h4>http://proteomics.ucsd.edu/Software/NeuroPedia.html<h4>Contact</h4>bandeira@ucsd.edu<h4>Supplementary information</h4>Supplementary materials are available at Bioinformatics online.",1,1,2,2,1,"kes, hji",,
22058129,DistiLD Database: diseases and traits in linkage disequilibrium blocks.,"Genome-wide association studies (GWAS) have identified thousands of single nucleotide polymorphisms (SNPs) associated with the risk of hundreds of diseases. However, there is currently no database that enables non-specialists to answer the following simple questions: which SNPs associated with diseases are in linkage disequilibrium (LD) with a gene of interest? Which chromosomal regions have been associated with a given disease, and which are the potentially causal genes in each region? To answer these questions, we use data from the HapMap Project to partition each chromosome into so-called LD blocks, so that SNPs in LD with each other are preferentially in the same block, whereas SNPs not in LD are in different blocks. By projecting SNPs and genes onto LD blocks, the DistiLD database aims to increase usage of existing GWAS results by making it easy to query and visualize disease-associated SNPs and genes in their chromosomal context. The database is available at http://distild.jensenlab.org/.",1,1,2,2,1,"kes, hji",,
22064864,Gene Expression Atlas update--a value-added database of microarray and sequencing-based functional genomics experiments.,"Gene Expression Atlas (http://www.ebi.ac.uk/gxa) is an added-value database providing information about gene expression in different cell types, organism parts, developmental stages, disease states, sample treatments and other biological/experimental conditions. The content of this database derives from curation, re-annotation and statistical analysis of selected data from the ArrayExpress Archive and the European Nucleotide Archive. A simple interface allows the user to query for differential gene expression either by gene names or attributes or by biological conditions, e.g. diseases, organism parts or cell types. Since our previous report we made 20 monthly releases and, as of Release 11.08 (August 2011), the database supports 19 species, which contains expression data measured for 19,014 biological conditions in 136,551 assays from 5598 independent studies.",1,1,2,2,1,"kes, hji",,
